學號,不及格學分數,學年學期,修習學分總數,示警類別
7f8c82d4b4ebd5bb7457ae76ec4990c776a31449b96e3f443d6c14c393a740ba,18,1061,24,1/2不及格
c436a53b0693be005a5df38aa09baea3d6bb6162239f8c8f52e8fac214e53da4,12,1061,23,1/2不及格但是為特殊身分
6c9d48227e85a3c0b31c67097e466c78383bd27114f74d77c1008e718ab1e70c,11,1061,22,1/2不及格但是為特殊身分
e599c4d4604af15d4dff4055a908c5aa6df55868dd2559db5b94acfbe87838a9,15,1061,19,1/2不及格
0fd6060d6c5d84cabad9a91f1c617178f08efeb9ce8977df2afb78c454f6b2df,"9 ",1061,14,1/2不及格但是為特殊身分
5ce8f9b26a82bc37481d62a1ff804d59e0beccd86c36ab1cb82b7b2cf60ecc04,11,1061,18,1/2不及格
3a30b6a3c33b8965b0a7257c797de60767a6cbc4e30bdf93117fdf07e46cd3c3,12,1061,24,1/2不及格
b901a43d2e729533cdb124407ae89a2a1633a54ca0f28f529374f26c27378d79,"8 ",1061,16,1/2不及格但是為特殊身分
fcb1ca578eb0f65c262ab56e6a546b6604b4f2d7ffcc7ca5616fa6e962fa9f0f,"6 ",1061,12,1/2不及格但是為特殊身分
48531979b28595480f0fdc7c841ded01fe31b9b2b6de5db36ccdb5207c9d48ea,10,1061,19,1/2不及格但是為特殊身分
30ba79d1368caf79cf64e516d587827c8ac94319b91491edb47ddc31f0a6e5dd,15,1061,22,2/3不及格
287fe76ee0d602b6b9ddd1a85bf02321dc1a8a9952e7cc73f2e139af5db4814f,"9 ",1061,"9 ",1/3不及格
2426ea57a89caa1ed5d3443ac1bb16aaa07bd35fc84c4a5a7c4a1750cfac63b7,"2 ",1061,"3 ",1/3不及格
59c304533b425972cafa195e6cc5fef52a69e3273b661a4baef90cda845af6e2,"5 ",1061,"6 ",1/3不及格
0c79ee66358b00277a32a66766373a90bfdf8d7e318a776946bd295f7743ef5e,15,1061,18,2/3不及格
949a6f5cc82e09d22f470ed15c95475e22b5cefa54f6762560dca20102cc1add,10,1061,20,1/2不及格
d4c78494190e3fdf5109b28ff4e75dc96fe9008822696724eb2ba707a1b0c4f5,10,1061,20,1/2不及格
f880f11adb55b01d47d1bb24c64f0ea51fc0c453de36e73877a173fbd59aa94a,10,1061,20,1/2不及格
48a4670fcb7be02ae0baaf574aa1d9527580028f3d4872edf80d60e1f13c6783,10,1061,18,1/2不及格
94b56627244666034d18152aab730317dc65b4c91497f4143e11c97331bca8f9,11,1061,19,1/2不及格
