學號,系所名稱,年級班別,組別,學期-班一般名次,學期-班一般人數,學期-平均成績,學期-鎖定排名,學期-系一般名次,學期-系一般人數,學期-組一般名次,學期-組一般人數,學期-成績是否全到,學期-班名次,學期-班人數,學期-系名次,學期-系人數,學期-組名次,學期-組人數,學年學期,累計-班一般名次,累計-班一般人數,累計-平均成績,累計-鎖定排名,累計-系一般名次,累計-系一般人數,累計-組一般名次,累計-組一般人數,累計-成績是否全到,累計-班名次,累計-班人數,累計-系名次,累計-系人數,累計-組名次,累計-組人數
d92c39e98f94789de08d24ddc329fb1cd68bbec5f8e74a4dcdcad16cc429b8d8,學習與教學研究所碩士班,4年級,,"0  ","3  ",0,全班成績已到鎖定排名,"0  ","3  ",,,成績全到,"0  ","3  ","0  ","3  ",,,1042,"1  ","3  ",92.56,全班成績已到鎖定排名,"1  ","3  ",,,成績全到,"1  ","3  ","1  ","3  ",,
8636c790404f9b24e058ba4a8c5d47559b0042c1389284271e3720e828a8b22c,物理學系生物物理碩士班,3年級,,"0  ","2  ",0,全班成績已到鎖定排名,"0  ","2  ",,,成績全到,"0  ","2  ","0  ","2  ",,,1042,"1  ","2  ",78.83,全班成績已到鎖定排名,"1  ","2  ",,,成績全到,"1  ","2  ","1  ","2  ",,
8978a2b46cdad3c96eb525d6c5f1fbc3dbe7bc8d59b6e2b381a1315000d0cb06,英美語文學系,3年級,,"4  ","57 ",91.65,全班成績已到鎖定排名,"4  ","57 ",,,成績全到,"4  ","56 ","4  ","56 ",,,1042,"17 ","57 ",86.42,全班成績已到鎖定排名,"17 ","57 ",,,成績全到,"17 ","56 ","17 ","56 ",,
19d46f6e4ce4ecbcc962dca3aef63e3b1355927d44015f853060e2957cbe981b,客家語文暨社會科學學系,3年級,,"13 ","19 ",79.86,全班成績已到鎖定排名,"13 ","19 ",,,成績全到,"13 ","18 ","13 ","18 ",,,1042,"17 ","19 ",74.83,全班成績已到鎖定排名,"17 ","19 ",,,成績全到,"17 ","18 ","17 ","18 ",,
b82e6b7ca6d80c235171a983c72d8312e76d6abf51c142cf1b1990e355566a11,化學工程與材料工程學系,3年級,,"49 ","51 ",57.50,全班成績已到鎖定排名,"49 ","51 ",,,成績全到,"47 ","49 ","47 ","49 ",,,1042,"45 ","51 ",66.75,全班成績已到鎖定排名,"45 ","51 ",,,成績全到,"43 ","49 ","43 ","49 ",,
9becb3b2b8914d52bb6f8a0e826138c4e8f559762a4954d80db290084282462a,化學工程與材料工程學系,3年級,,"4  ","51 ",88.78,全班成績已到鎖定排名,"4  ","51 ",,,成績全到,,,,,,,1042,"5  ","51 ",83.91,全班成績已到鎖定排名,"5  ","51 ",,,成績全到,,,,,,
7bd923c7d19d72483560d3be78f080d95c4d1ea071a71c3780b66ce17f94be7a,英美語文學系,3年級,,"22 ","57 ",86.53,全班成績已到鎖定排名,"22 ","57 ",,,成績全到,"22 ","56 ","22 ","56 ",,,1042,"40 ","57 ",80.99,全班成績已到鎖定排名,"40 ","57 ",,,成績全到,"40 ","56 ","40 ","56 ",,
7570d3fa8b5ed6f4b3618fa228d547100ee584b77af51eb2b464d7a75b83e6bb,機械工程學系,4年級2班,先進材料與精密製造組,"17 ","54 ",78.27,全班成績已到鎖定排名,"70 ",167,"17 ","54 ",成績全到,,,,,,,1042,"40 ","54 ",67.86,全班成績已到鎖定排名,120,167,"40 ","54 ",成績全到,,,,,,
051dc25b38023aefc6235887330172da802c70a18a17e8aa8db3b5472da1968c,中國文學系,2年級,,"6  ","45 ",85.32,全班成績已到鎖定排名,"6  ","45 ",,,成績全到,"6  ","45 ","6  ","45 ",,,1042,"16 ","45 ",81.65,全班成績已到鎖定排名,"16 ","45 ",,,成績全到,"16 ","45 ","16 ","45 ",,
e7fbea1db3f66b60f60ffe90048c1ee72530c1b78501dd44c27c770a2429991c,化學學系碩士班,3年級,,"0  ","2  ",0,全班成績已到鎖定排名,"0  ","2  ",,,成績全到,"0  ","2  ","0  ","2  ",,,1042,"2  ","2  ",78.44,全班成績已到鎖定排名,"2  ","2  ",,,成績全到,"2  ","2  ","2  ","2  ",,
728b0e2677ee9dac6a3a319d4097f96fc5c14dfd3c278282355d3ad83cd11b00,經濟學系,4年級,,"23 ","73 ",85.33,全班成績已到鎖定排名,"23 ","73 ",,,成績全到,"23 ","67 ","23 ","67 ",,,1042,"9  ","73 ",87.99,全班成績已到鎖定排名,"9  ","73 ",,,成績全到,"9  ","67 ","9  ","67 ",,
603e709137587a5d09e4812b78702998557953e0fd4860c33ac7baf1b6e05b07,數學系,4年級2班,,"7  ","40 ",85.29,全班成績已到鎖定排名,"18 ","84 ",,,成績全到,"7  ","38 ","18 ","79 ",,,1042,"6  ","40 ",84.71,全班成績已到鎖定排名,"8  ","84 ",,,成績全到,"6  ","38 ","8  ","79 ",,
d481a28c44db70859ac4c33f936f976c45f57b99a0fa48d48c6694ca90a6b5f9,土木工程學系碩士在職專班,3年級,,"0  ","8  ",0,全班成績已到鎖定排名,"0  ","8  ",,,成績全到,"0  ","8  ","0  ","8  ",,,1042,"8  ","8  ",85.13,全班成績已到鎖定排名,"8  ","8  ",,,成績全到,"8  ","8  ","8  ","8  ",,
