學號,學院,學院代碼,系所名稱,系所代號,年級班別,年級班別代碼,組別名稱,組別代碼,學年學期,學制,學制代碼
e4e1e25cdfcc3ef45ddf26e0624622d2ef5b69c901bbd385248c95a4357b3633,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
2bc5dee330277ef87dfd612f57c0620b6cc298cdfcaa40217714f309b54bd267,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
2a6945982a1dc0ade04c33d3e88168588733752fc4fb62cd7bc1af59724e28c1,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
0b30dab8187430de5b552364341cc3d6d5cc2e8fe34a0d7fc23be120d55b609c,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
4933be6f53dcdbaff995d4a87c1612b7c3395ab185ac49bb3c773fb48cb21115,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
2790bbe6b5cf33aae73cfa78cf1234b62da8dfc2257ad1b3539c776777b5413a,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
fe4128ea73d205b7281b787dee1b79e276f8f002da04e425c740fd567c4aae2f,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
d2fe2d4ccf9a91831616adac8076eecb40ad8017cdd337c54d37940c291fd2fd,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
edbb76bc3efedea952d83b7703adf0952c38127e82386632519528d3b28e6558,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
744b53f7a2bce2793e5ff08792d8a6c7d290b758cc800c4e73acc57012ae059e,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
9a2ba1e75f17113405e79dd5e06577f2ef2da53daf235d4b31eae63c08907575,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
d2bc8ab36dbf30d1b7e95fcb594c2585491f894648046c67fcbc4fcb761667c2,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
6a55ad0de3269a014f28c50bca491c256404204cf13b131b704476d915249931,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
e7d6007cbc2c73b985a4d4be11f1a3429cebf481e43814c58476d6a79ee73b96,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1032,"學士班              ",1
0749cee4d16ab4ceedac259c370bfb4b84091f0b8373ba7f0a85fb433ddccba5,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1032,"學士班              ",1
984fb45c78f2c759979152833771ea71283170387212862222b736a598988789,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1032,"學士班              ",1
ee559a6a6729e0c7ab938cafdd2e598ac425ce496ca44e2f4ddb0682a9ed60a3,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1032,"學士班              ",1
b560252cd8e8612339af1024d94cd603e8f43af3c8630ed217bcb7df8f512208,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1032,"學士班              ",1
86439d54581ec3bf567544dc645b6bcca15bff3422da49ecab44b23bef0b71a7,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1032,"學士班              ",1
