學號,班一般名次,班一般人數,平均成績,鎖定排名,系所名稱,系一般名次,系一般人數,年級班別,組別,組一般名次,成績是否全到,班名次,班人數,系名次,系人數,組名次,組人數,學年
2bc5dee330277ef87dfd612f57c0620b6cc298cdfcaa40217714f309b54bd267,"24 ","53 ",79.37,未鎖定,中國文學系,"24 ","53 ",4年級,,,成績全到,"23 ","51 ","23 ","51 ",,,103
4933be6f53dcdbaff995d4a87c1612b7c3395ab185ac49bb3c773fb48cb21115,"47 ","53 ",73.00,未鎖定,中國文學系,"47 ","53 ",4年級,,,成績全到,"45 ","51 ","45 ","51 ",,,103
fe4128ea73d205b7281b787dee1b79e276f8f002da04e425c740fd567c4aae2f,"50 ","53 ",72.68,未鎖定,中國文學系,"50 ","53 ",4年級,,,成績全到,"48 ","51 ","48 ","51 ",,,103
9a11d28bceec6779a8b32666e3929c65920739f115c3126df140138e7ea8c244,"28 ","62 ",79.90,未鎖定,經濟學系,"28 ","62 ",4年級,,,成績全到,"25 ","57 ","25 ","57 ",,,103
d2fe2d4ccf9a91831616adac8076eecb40ad8017cdd337c54d37940c291fd2fd,"8  ","53 ",84.27,未鎖定,中國文學系,"8  ","53 ",4年級,,,成績全到,"8  ","51 ","8  ","51 ",,,103
edbb76bc3efedea952d83b7703adf0952c38127e82386632519528d3b28e6558,"34 ","53 ",77.41,未鎖定,中國文學系,"34 ","53 ",4年級,,,成績全到,"32 ","51 ","32 ","51 ",,,103
744b53f7a2bce2793e5ff08792d8a6c7d290b758cc800c4e73acc57012ae059e,"29 ","53 ",78.28,未鎖定,中國文學系,"29 ","53 ",4年級,,,成績全到,"28 ","51 ","28 ","51 ",,,103
9a2ba1e75f17113405e79dd5e06577f2ef2da53daf235d4b31eae63c08907575,"25 ","53 ",79.34,未鎖定,中國文學系,"25 ","53 ",4年級,,,成績全到,"24 ","51 ","24 ","51 ",,,103
d2bc8ab36dbf30d1b7e95fcb594c2585491f894648046c67fcbc4fcb761667c2,"7  ","53 ",84.61,未鎖定,中國文學系,"7  ","53 ",4年級,,,成績全到,"7  ","51 ","7  ","51 ",,,103
6a55ad0de3269a014f28c50bca491c256404204cf13b131b704476d915249931,"1  ","53 ",88.57,未鎖定,中國文學系,"1  ","53 ",4年級,,,成績全到,"1  ","51 ","1  ","51 ",,,103
6d28ab3b2906a868dc031d496b88b3a455a26dba5126709dbdb3d48d4f599fc7,"3  ","48 ",90.03,未鎖定,法國語文學系,"3  ","48 ",4年級,,,成績全到,"2  ","47 ","2  ","47 ",,,103
e7d6007cbc2c73b985a4d4be11f1a3429cebf481e43814c58476d6a79ee73b96,"19 ","53 ",80.57,未鎖定,中國文學系,"19 ","53 ",4年級,,,成績全到,"18 ","51 ","18 ","51 ",,,103
9f9589664155dcba745473c5f17623e5257a5f7fb11bea2194685ac27ce2003d,"9  ","53 ",83.93,未鎖定,中國文學系,"9  ","53 ",4年級,,,成績全到,"9  ","51 ","9  ","51 ",,,103
16e2595ea4c26677aa7f7b8b43a09c93b2f21cfe763b2d7e732471b998da09b0,"6  ","53 ",85.59,未鎖定,中國文學系,"6  ","53 ",4年級,,,成績全到,"6  ","51 ","6  ","51 ",,,103
3c0e9c773f4c6a2b8ba08a205c9efa5df05d30821da657dcf130646a96b8b3f2,"45 ","53 ",74.14,未鎖定,中國文學系,"45 ","53 ",4年級,,,成績全到,"43 ","51 ","43 ","51 ",,,103
204dae9d105306e5591fb356462ada93c255015fb0867776aa993974bc25fccd,"34 ","53 ",77.41,未鎖定,中國文學系,"34 ","53 ",4年級,,,成績全到,"32 ","51 ","32 ","51 ",,,103
116cc581331d89f732830fa277d628837d8e6c7c06d23f26b4d2b3181e3407b8,"22 ","53 ",79.99,未鎖定,中國文學系,"22 ","53 ",4年級,,,成績全到,"21 ","51 ","21 ","51 ",,,103
f5ce799e88a117bed4512b4029eeb535402f18434903d8e550e470779854555f,"41 ","53 ",75.87,未鎖定,中國文學系,"41 ","53 ",4年級,,,成績全到,"39 ","51 ","39 ","51 ",,,103
179860df6f0dfb74dcf3722395951848be507301b3bb559b6b184a6c7a29f398,"31 ","53 ",77.75,未鎖定,中國文學系,"31 ","53 ",4年級,,,成績全到,"29 ","51 ","29 ","51 ",,,103
