學號,課程屬性名稱,分發代碼,結束的分發時間,志願序,籤號,選課的結果,學期別,課號,學生班別,學生所屬系所,學生性別,學生年級
5c95c589300ba6d85ef364e29fa79acc3949329d207cae5a0e385db47b609ab9,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
d2df629c0cf382b3c480d74a3157b16bb6f4cb6cedc6acdb48dc8b34ee780462,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
a08c1cec4ff0df72cf63de0ff70dc3198f51ae557b62a00bc8e24fb7492cbe27,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
cfcfda7b96de7ee6b45562f573b49a0b34f5be8f03037e67a5e3b1c5d44d4580,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
0c7d496e0a088c51b816a82bdc0e0b88679e5280c73b9b9492ba9577e9d6640f,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
c32d19c44b42e5e725a0de66d5f1a69c274c37794596a546a9b2fbfcc9656b49,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
52119c84ac00342b1181b0d3fee3f590ea02d07629ef55dc6e76b477cb012341,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
2e85daba258477208af36aa71ef586f0c2b2dc2f5ffd1bd1ef3580bb458bd6e6,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,女,3
0b99f9a357f9c922a1b5a4e3e2ff49bb4e2a1f424aa0d12b35ee009dafab66e7,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,女,3
4f14911ba3370de1308b7d9cbff4e39fdbaca71fc6010d1953db8ca519433d30,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,女,3
b0b92cd60346e544ff042fbc729a50ab02f9b0082304ea5ebbb0de6a08648033,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
7dcd770ae05ba696b95ec1ebc252fd11a101e86e1725e45a40ef449601441a58,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
a71bc90a3f448d17c8df0d79270bc6c69d18a0d1d7fbb495a44d5360e97c2ebc,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
ba33576f654d505f68bd8bfeafdfb6ecf465d69fcd04234d06019fed877d73d5,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
7542ed436e314227913f777522701615f2d473ef7fbe361bf79e3f93cb80b206,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
2ed26145bf9c1bee55ecf303ebe8c74800945c7edb519196dbe6d2b696009e88,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
9c378596d7240228180fc9fda9cc4f23fc427adb5faa38ebdc17bfece5bbf363,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
51b9feb3871c91a7958486548506c12436a8a1bd16ce68fef72a905708099355,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
f4eb9455a61072ea097fe1dd1290a12eae21da10dcc96a1c1b9db3d676f2063a,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,3
435d5b237143b496cbed0389a3fce005d816571cacc1856c889ee9e735ae2d41,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,2
e84e59df07155cdb0239dfe69403aab7c68a06f8cb9f8ef3de74c2e4f2f3b61d,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,2
08f1fd994c5d1e8875b03cc0fb32d4d02f7cd0b10cfcd39cc597f47155943ef6,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,2
cb83dd44744cf9b4098a1f018e97b8270fe4350d114f0472fe2aa9e27b24b6c3,選修,311,2014-02-26,1,0,中選(密碼),1022,53011,,通訊工程學系,男,2
